"故障编号","故障描述_中文","故障描述_英文","故障等级","偏航等级","延时时间","更改说明及日期","故障代码"
"532","06032_SC_塔基柜24V冗余模块均流功能失效报警","06032_SC_TowerCabinet24VRedundancyModuleMeanFlowFailureAlarm","4","0.0","5.0","","06032"
"533","06033_SC_塔基柜视频监控供电开关2空开跳闸","06033_SC_TowerCabientVideoMonitoringPowerSupplyFuseOK2","0","0.0","0.1","","06033"
"534","06034_SC_塔基柜视频监控供电开关3空开跳闸","06034_SC_TowerCabientVideoMonitoringPowerSupplyFuseOK3","0","0.0","0.1","","06034"
"535","06035_SC_塔筒外平台照明系统空开跳闸","06035_SC_TowerCabientOuterPlatformLightingSystemFuseOK","0","0.0","0.1","","06035"
"536","06036_SC_过渡段照明系统空开跳闸","06036_SC_TowerCabientTransitionLightingSystemFuseOK","0","0.0","0.1","","06036"
"537","06037_SC_塔机平台航标系统空开跳闸","06037_SC_TowerCabientTowerPlatformNavigationSystemFuseOK","0","0.0","0.1","","06037"
"538","06038_SC_PUM柜供电空开跳闸","06038_SC_TowerCabientPMUCabinetPowerSupplyFuseOK","0","0.0","0.1","","06038"
"539","06039_SC_基础检测柜供电空开跳闸","06039_SC_TowerCabientBasicMonitoringtPowerSupplyFuseOK","0","0.0","0.1","","06039"
"540","06040_SC_塔壁吊供电空开跳闸","06040_SC_TowerCabientCantileverCranePowerSupplyProtectionOK","0","0.0","0.1","","06040"
"541","06041_SC_塔基柜温度高","06041_SC_TowerCabinetTemperatureHigh","4","0.0","10.0","","06041"
"542","06042_SC_塔基柜温度低","06042_SC_TowerCabinetTemperatureLow","4","0.0","10.0","","06042"
"543","06043_SC_箱变水冷供电保护","06043_SC_BoxTransformerWaterCoolingSupplyPowerProtectionOK","4","0.0","0.1","","06043"
"544","06044_SC_高压柜内UPS供电开关空开跳闸","06044_SC_SwitchCabinetUPSSupplyPowerFuseOK","0","0.0","0.1","","06044"
"545","06045_SC_高压柜加热除湿装置空开跳闸","06045_SC_SwitchCabinetHeaterDehumidifierFuseOK","0","0.0","0.1","","06045"
"546","06046_SC_塔基柜柜内空调供电正常","06046_SC_TowerCabinetAirConditionerFuseOk","0","0.0","0.1","","06046"
"547","06047_SC_塔基柜柜内空调故障","06047_SC_TowerCabinetAirConditionerFaultSignal","0","0.0","0.1","","06047"
"548","06048_SC_箱变水冷系统水冷泵伴热带供电正常","06048_SC_TowerCabinetBoxTransformerWaterPumpHeatTapesFuseOK","0","0.0","0.1","","06048"
"549","06049_SC_塔基辅助控制柜230V供电正常","06049_SC_TowerAuxiliaryCabinet230VPowerSupplyFuseOK","0","0.0","0.1","","06049"
"550","06050_SC_塔基辅助柜开关电源供电正常","06050_SC_TowerAuxiliaryCabinetSwitchPowerFuseOK","0","0.0","0.1","","06050"
"551","06051_SC_辅助控制柜内24V供电正常","06051_SC_TowerAuxiliaryCabinet24VPowerSupplyFuseOK","0","0.0","0.1","","06051"
"552","06052_SC_螺栓监测供电正常","06052_SC_TowerAuxiliaryCabientBoltMonitoringPowerFuseOK","0","0.0","0.1","","06052"
"553","06053_SC_应力应变监测主柜230V供电正常","06053_SC_TowerAuxiliaryCabientStressMonitoring230VFuseOK","0","0.0","0.1","","06053"
"554","06054_SC_塔基辅助控制柜24V 端子排供电正常","06054_SC_TowerAuxiliaryCabinet24VTerminalPowerSupplyFuseOK","0","0.0","0.1","","06054"
"555","06055_SC_塔基辅助控制柜光电转换器供电正常","06055_SC_TowerAuxiliaryCabinetPhotodetectorFuseOK2","0","0.0","0.1","","06055"
"556","06056_SC_塔基辅助控制柜备用组交换机1供电正常","06056_SC_TowerAuxiliaryCabinetPabxPowerSupplyFuseOK1","0","0.0","0.1","","06056"
"557","06057_SC_塔基辅助控制柜备用组交换机2供电正常","06057_SC_TowerAuxiliaryCabinetPabxPowerSupplyFuseOK2","0","0.0","0.1","","06057"
"558","06058_SC_塔基辅助控制柜温控系统供电正常","06058_SC_TowerAuxiliaryCabinetTemperatureAndHumidityFuseOK","0","0.0","0.1","","06058"
"559","06059_SC_塔基辅助控制柜IP电话供电正常","06059_SC_TowerAuxiliaryCabinetIPTelephonePowerSupplyFuseOK","0","0.0","0.1","","06059"
"560","06060_SC_应力应变主柜24V供电正常","06060_SC_TowerAuxiliaryCabientStressMonitoring24VPowerFuseOK","0","0.0","0.1","","06060"
"561","06061_SC_塔基辅助控制柜风扇及加热器供电正常","06061_SC_TowerAuxiliaryCabinetHeaterAndFanFuseOK","0","0.0","0.1","","06061"
"562","06062_SC_开关电源信号反馈正常","06062_SC_TowerAuxiliaryCabinetSwitchPowerNormal","0","0.0","0.1","","06062"
"563","06063_SC_应力监测主柜230V供电正常","06063_SC_TowerStressCabinet230VPowerSupplyFuseOK","0","0.0","0.1","","06063"
"564","06064_SC_应力监测主柜24V供电正常","06064_SC_TowerStressCabinet24VPowerSupplyFuseOK","0","0.0","0.1","","06064"
"565","06065_SC_应力监测主柜柜内风扇及加热器供电正常","06065_SC_TowerStressCabinetHeaterAndFanFuseOK","0","0.0","0.1","","06065"
"566","06066_SC_应力监测主柜温湿度控制器供电正常","06066_SC_TowerStressCabinetTemperatureAndHumidityFuseOK","0","0.0","0.1","","06066"
"567","06067_SC_应力监测主柜24V及0V端子排供电正常","06067_SC_TowerStressCabinet24VTerminalPowerSupplyFuseOK","0","0.0","0.1","","06067"
"568","06068_SC_箱变水冷系统散热器电机1伴热带开关正常","06068_SC_TowerCabinetBoxTransformerWaterFanHeatTapes1FuseOK","0","0.0","0.1","","06068"
"569","06069_SC_塔底应力监测柜230V供电正常","06069_SC_TowerBottomStressCabinet230VPowerSupplyFuseOK","0","0.0","0.1","","06069"
"570","06070_SC_塔底应力监测柜24V供电正常","06070_SC_TowerBottomStressCabinet24VPowerSupplyFuseOK","0","0.0","0.1","","06070"
"571","06071_SC_塔底监测柜柜内风扇及加热器开关正常","06071_SC_TowerBottomStressCabinetHeaterAndFanFuseOK","0","0.0","0.1","","06071"
"572","06072_SC_塔底监测柜柜温湿度控制器开关正常","06072_SC_TowerBottomStressCabinetTemAndHumidityFuseOK","0","0.0","0.1","","06072"
"573","06073_SC_塔底监测柜24V及0V端子排供电","06073_SC_TowerBottomStressCabinet24VTerminalPowerFuseOK","0","0.0","0.1","","06073"
"574","06074_SC_塔顶应力监测柜230V供电","06074_SC_TowerTopStressCabinet230VPowerSupplyFuseOK","0","0.0","0.1","","06074"
"575","06075_SC_塔顶应力监测柜24V供电","06075_SC_TowerTopStressCabinet24VPowerSupplyFuseOK","0","0.0","0.1","","06075"
"576","06076_SC_塔顶监测柜柜内风扇及加热器开关正常","06076_SC_TowerTopStressCabinetHeaterAndFanFuseOK","0","0.0","0.1","","06076"
"577","06077_SC_塔顶监测柜柜温湿度控制器开关正常","06077_SC_TowerTopStressCabinetTemperatureAndHumidityFuseOK","0","0.0","0.1","","06077"
"578","06078_SC_塔顶监测柜24V及0V端子排供电","06078_SC_TowerTopStressCabinet24VTerminalPowerSupplyFuseOK","0","0.0","0.1","","06078"
"579","06079_SC_塔基除湿机开关正常","06079_SC_TowerCabinetDehumidifierFuseOK","0","0.0","0.1","","06079"
"580","06080_SC_后备电源电池柜1风扇供电","06080_SC_TowerCabinetUPSFanFuseOK1","0","0.0","0.1","","06080"
"581","06081_SC_后备电源电池柜2风扇供电","06081_SC_TowerCabinetUPSFanFuseOK2","0","0.0","0.1","","06081"
"582","06082_SC_高压柜测控装置供电","06082_SC_SwitchCabinetTestingDeviceSupplyPowerFuseOK","0","0.0","0.1","","06082"
"583","06083_SC_塔基柜XP1端子排供电","06083_SC_TowerCabinetXP1TerminalPowerSupplyFuseOK","4","0.0","0.1","","06083"
"584","06084_SC_塔基柜XP2端子排供电","06084_SC_TowerCabinetXP2TerminalPowerSupplyFuseOK","4","0.0","0.1","","06084"
"585","06085_SC_塔基柜XP3端子排供电","06085_SC_TowerCabinetXP3TerminalPowerSupplyFuseOK","4","0.0","0.1","","06085"
"586","06084_SC_箱变水冷系统散热器电机2伴热带开关正常","06086_SC_TowerCabinetBoxTransformerWaterFanHeatTapes2FuseOK","0","0.0","0.1","","06086"
"587","06085_SC_塔基辅助柜温度过高","06087_SC_TowerAuxiliaryCabinetTemperatureHigh","0","0.0","10.0","","06087"
"588","06086_SC_塔基辅助柜温度过低","06088_SC_TowerAuxiliaryCabinetTemperatureLow","0","0.0","10.0","","06088"
"589","06087_SC_应力监测主柜温度过高","06089_SC_TowerStressCabinetTemperatureHigh","0","0.0","10.0","","06089"
"590","06088_SC_应力监测主柜温度过低","06090_SC_TowerStressCabinetTemperatureLow","0","0.0","10.0","","06090"
"591","06089_SC_塔底应力监测柜过高","06091_SC_TowerBottomStressCabinetTemperatureHigh","0","0.0","10.0","","06091"
"592","06090_SC_塔底应力监测柜过低","06092_SC_TowerBottomStressCabinetTemperatureLow","0","0.0","10.0","","06092"
"593","06091_SC_塔顶应力监测柜过高","06093_SC_TowerTopStressCabinetTemperatureHigh","0","0.0","10.0","","06093"
"594","06094_SC_塔顶应力监测柜过低","06094_SC_TowerTopStressCabinetTemperatureLow","0","0.0","10.0","","06094"
"595","06095_SC_箱式变压器辅变供电雷电保护正常信号","06095_SC_TowerCabinetLightingSystemFuseOK","0","0.0","0.1","","06095"
"596","06096_SC_塔基辅助控制系统230V供电","06096_SC_TowerAuxiliaryCabinet230VPowerSupplyFuseOK2","0","0.0","0.1","","06096"
"597","06097_SC_辅助控制系统 塔基视频监控230V供电","06097_SC_TowerAuxiliaryCabientVideoMonitoringPowerFuseOK2","0","0.0","0.1","","06097"
"598","06098_SC_变频器水冷系统1加热器空开正常","06098_SC_TowerCabinetConverterCoolingSystem1HeaterFuseOK","0","0.0","0.1","","06098"
"599","06099_SC_变频器水冷系统1水泵空开正常","06099_SC_TowerCabinetConverterCoolingSystem1PumpProtectionOK","0","0.0","0.1","","06099"
"600","06100_SC_变频器水冷系统1水泵1加热器空开正常","06100_SC_TowerCabinetConverterCoolingSystem1PumpHearterFuse","0","0.0","0.1","","06100"
"601","06101_SC_变频器水冷系统1水冷风扇1空开正常","06101_SC_TowerCabinetConverterCoolingSystem1FanProtectionOK1","0","0.0","0.1","","06101"
"602","06102_SC_变频器水冷系统1水冷风扇1加热器空开正常","06102_SC_TowerCabinetConverterCoolingSystem1FanHeaterFuseOK1","0","0.0","0.1","","06102"
"603","06103_SC_变频器水冷系统1水冷风扇2空开正常","06103_SC_TowerCabinetConverterCoolingSystem1FanProtectionOK2","0","0.0","0.1","","06103"
"604","06104_SC_变频器水冷系统1水冷风扇2加热器空开正常","06104_SC_TowerCabinetConverterCoolingSystem1FanHeaterFuseOK2","0","0.0","0.1","","06104"
"605","06105_SC_变频器水冷系统1水冷风扇3空开正常","06105_SC_TowerCabinetConverterCoolingSystem1FanProtectionOK3","0","0.0","0.1","","06105"
"606","06106_SC_变频器水冷系统1水冷风扇3加热器空开正常","06106_SC_TowerCabinetConverterCoolingSystem1FanHeaterFuseOK3","0","0.0","0.1","","06106"
"607","06107_SC_变频器水冷系统1球阀供电正常","06107_SC_TowerCabinetConverterCoolingSystem1ValveFuseOk","0","0.0","0.1","","06107"
"608","06108_SC_变频器水冷系统2加热器空开正常","06108_SC_TowerCabinetConverterCoolingSystem2HeaterFuseOK","0","0.0","0.1","","06108"
"609","06109_SC_变频器水冷系统2水泵空开正常","06109_SC_TowerCabinetConverterCoolingSystem2PumpProtectionOK","0","0.0","0.1","","06109"
"610","06110_SC_变频器水冷系统1水泵2加热器空开正常","06110_SC_TowerCabinetConverterCoolingSystem2PumpHearterFuse","0","0.0","0.1","","06110"
"611","06111_SC_变频器水冷系统2水冷风扇1空开正常","06111_SC_TowerCabinetConverterCoolingSystem2FanProtectionOK1","0","0.0","0.1","","06111"
"612","06112_SC_变频器水冷系统2水冷风扇1加热器空开正常","06112_SC_TowerCabinetConverterCoolingSystem2FanHeaterFuseOK1","0","0.0","0.1","","06112"
"613","06113_SC_变频器水冷系统2水冷风扇2空开正常","06113_SC_TowerCabinetConverterCoolingSystem2FanProtectionOK2","0","0.0","0.1","","06113"
"614","06114_SC_变频器水冷系统2水冷风扇2加热器空开正常","06114_SC_TowerCabinetConverterCoolingSystem2FanHeaterFuseOK2","0","0.0","0.1","","06114"
"615","06115_SC_变频器水冷系统2水冷风扇2加热器空开正常","06115_SC_TowerCabinetConverterCoolingSystem2FanProtectionOK3","0","0.0","0.1","","06115"
"616","06116_SC_变频器水冷系统2水冷风扇3空开正常","06116_SC_TowerCabinetConverterCoolingSystem2FanHeaterFuseOK3","0","0.0","0.1","","06116"
"617","06117_SC_变频器水冷系统2球阀供电正常","06117_SC_TowerCabinetConverterCoolingSystem2ValveFuseOk","0","0.0","0.1","","06117"
"618","06118_SC_塔基补水泵空开正常","06118_SC_TowerCabinetMakeUpPumpFuseOk","0","0.0","0.1","","06118"
"701","07001_SC_电网L1相过压","07001_SC_GridOverVoltageL1","5","5.0","0.3","","07001"
"702","07002_SC_电网L2相过压","07002_SC_GridOverVoltageL2","5","5.0","0.3","","07002"
"703","07003_SC_电网L3相过压","07003_SC_GridOverVoltageL3","5","5.0","0.3","","07003"
"704","07004_SC_电网L1相欠压","07004_SC_GridLowVoltageL1","5","5.0","2.0","","07004"
"705","07005_SC_电网L2相欠压","07005_SC_GridLowVoltageL2","5","5.0","2.0","","07005"
"706","07006_SC_电网L3相欠压","07006_SC_GridLowVoltageL3","5","5.0","2.0","","07006"
"707","07007_SC_电网L1相过流","07007_SC_GridOverCurrentL1","7","0.0","2.5","","07007"
"708","07008_SC_电网L2相过流","07008_SC_GridOverCurrentL2","7","0.0","2.5","","07008"
"709","07009_SC_电网L3相过流","07009_SC_GridOverCurrentL3","7","0.0","2.5","","07009"
"710","07010_SC_电网频率高","07010_SC_GridOverFrequency","5","5.0","0.1","","07010"
"711","07011_SC_电网频率低","07011_SC_GridLowFrequency","5","5.0","0.1","","07011"
"712","07012_SC_电网有功过功率（1秒）","07012_SC_GridOverActivePower1s","7","0.0","0.1","","07012"
"713","07013_SC_电网有功过功率（10分钟）","07013_SC_GridOverActivePower10min","7","0.0","0.1","","07013"
"714","07014_SC_电网无功过功率（1秒）","07014_SC_GridOverReactivePower1s","7","0.0","0.1","","07014"
"715","07015_SC_电网无功过功率（10分钟）","07015_SC_GridOverReactivePower10min","7","0.0","0.1","","07015"
"801","08001_SC_发电机绕组1(U1)过温","08001_SC_GeneratorWinding1OverTemperture","6","0.0","10.0","","08001"
"802","08002_SC_发电机绕组2(V1)过温","08002_SC_GeneratorWinding2OverTemperture","6","0.0","10.0","","08002"
"803","08003_SC_发电机绕组3(W1)过温","08003_SC_GeneratorWinding3OverTemperture","6","0.0","10.0","","08003"
"804","08004_SC_发电机绕组4(U2)过温","08004_SC_GeneratorWinding4OverTemperture","6","0.0","10.0","","08004"
"805","08005_SC_发电机绕组5(V2)过温","08005_SC_GeneratorWinding5OverTemperture","6","0.0","10.0","","08005"
"806","08006_SC_发电机绕组6(W2)过温","08006_SC_GeneratorWinding6OverTemperture","6","0.0","10.0","","08006"
"807","08007_SC_发电机内循环进风口1过温","08007_SC_GeneratorInsideRecycleWindInletOverTemperature1","6","0.0","10.0","","08007"
"808","08008_SC_发电机内循环进风口2过温","08008_SC_GeneratorInsideRecycleWindInletOverTemperature2","6","0.0","10.0","","08008"
"809","08009_SC_发电机内循环出风口1过温","08009_SC_GeneratorInsideRecycleWindOutletOverTemperature1","6","0.0","10.0","","08009"
"810","08010_SC_发电机内循环出风口2过温","08010_SC_GeneratorInsideRecycleWindOutletOverTemperature2","6","0.0","10.0","","08010"
"811","08011_SC_发电机外循环进风口1过温","08011_SC_GeneratorOutsideRecycleWindInletOverTemperature1","6","0.0","10.0","","08011"
"812","08012_SC_发电机外循环进风口2过温","08012_SC_GeneratorOutsideRecycleWindInletOverTemperature2","6","0.0","10.0","","08012"
"813","08013_SC_发电机外循环出风口1过温","08013_SC_GeneratorOutsideRecycleWindOutletOverTemperature1","6","0.0","10.0","","08013"
"814","08014_SC_发电机外循环出风口2过温","08014_SC_GeneratorOutsideRecycleWindOutletOverTemperature2","6","0.0","10.0","","08014"
"815","08015_SC_发电机齿轮箱侧轴承过温","08015_SC_GeneratorGearboxSideBearingOverTemperature","6","0.0","10.0","","08015"
"816","08016_SC_发电机机舱侧轴承过温","08016_SC_GeneratorNacelleSideBearingOverTemperature","6","0.0","10.0","","08016"
