ID,刹车等级,偏航等级,故障代码,中文描述,英文描述
53,_50,__0,01_05_002,桨叶1的两个编码器故障,SC_Blade1_BothPitchSensorsDefect
54,_51,__0,01_05_003,桨叶同步误差等级1故障,SC_Pitch_SyncError_Limit1
55,_51,__0,01_05_004,桨叶同步误差1秒等级2故障,SC_Pitch_SyncError_Limit2_1s
56,100,__0,01_05_005,桨叶同步误差5秒等级1故障重复出现,SC_RepFaultPitch_SyncError_Limit1_5s
57,_51,__0,01_05_006,桨叶同步误差1秒等级2故障重复出现,SC_RepFaultPitch_SyncError_Limit2_1s
58,100,__0,01_05_007,OAT变桨系统看门狗断开报警,SC_WatchDogOpen_Hub_Warning
60,100,__0,01_05_009,桨叶1的95度限位开关触发,SC_Blade1_EndPos95Deg
61,_51,__0,01_05_010,桨叶1电池电压故障,SC_Blade1_BatterieVoltageNotOK
62,_51,__0,01_05_011,桨叶1的91度限位开关触发,SC_Blade1_EndPos91Deg
63,_51,__0,01_05_013,桨叶1变桨电机风扇保护动作,SC_Blade1_MotorProtectionFan
64,199,__0,01_05_015,桨叶1变频器未准备就绪,SC_Blade1_BTBConverterNotReady
65,199,__0,01_05_016,桨叶1同步误差故障,SC_Blade1_FollowingError
68,__0,__0,01_05_021,桨叶2的一个编码器故障,SC_Blade2_OnePitchSensorDefect
69,__0,__0,01_05_029,桨叶2的95度限位开关触发,SC_Blade2_EndPos95Deg
70,__0,__0,01_05_030,桨叶2电池电压故障,SC_Blade2_BatterieVoltageNotOK
71,_51,__0,01_05_031,桨叶2的91度限位开关触发,SC_Blade2_EndPos91Deg
72,_51,__0,01_05_033,桨叶2变桨电机风扇保护动作,SC_Blade2_MotorProtectionFan
73,199,__0,01_05_035,桨叶2变频器未准备就绪,SC_Blade2_BTBConverterNotReady
74,199,__0,01_05_036,桨叶2跟随错误,SC_Blade2_FollowingError
77,__0,__0,01_05_041,桨叶3的一个编码器故障,SC_Blade3_OnePitchSensorDefect
78,_51,__0,01_05_049,桨叶3的95度限位开关触发,SC_Blade3_EndPos95Deg
79,_51,__0,01_05_050,桨叶3电池电压故障,SC_Blade3_BatterieVoltageNotOK
80,_51,__0,01_05_051,桨叶3的91度限位开关触发,SC_Blade3_EndPos91Deg
81,_51,__0,01_05_053,桨叶3变桨电机风扇保护动作,SC_Blade3_MotorProtectionFan
82,199,__0,01_05_055,桨叶3变频器未准备就绪,SC_Blade3_BTBConverterNotReady
83,199,__0,01_05_056,桨叶3跟随错误,SC_Blade3_FollowingError
85,_51,__0,01_05_058,变桨系统电池充电状态不正常,SC_NoSignalPitchChargerStatesOK
86,_51,__0,01_05_059,变桨系统重复电池充电状态不正常,SC_RepFaultNoSignalPitchChargingCycleDone
88,__0,__0,01_05_061,三个桨叶编码器故障,SC_ThreePitchSensorsDefect
89,_51,__0,01_05_062,变桨充电设备电压不正常,SC_PitchChargingDeviceVoltageNotOK
90,_51,__0,01_05_063,三个桨叶都在91°位置,SC_PitchBladesEndPosOverrunSlipringSignal
91,_51,__0,01_05_067,桨叶设定值与实际值偏差大等级3,SC_PitchSetError_Limit3_5s
92,_51,__0,01_05_068,桨叶设定值与实际值偏差大等级4,SC_PitchSetError_Limit4_1s
97,__0,__0,01_05_107,SC_Blade1UcapNotOK,SC_Blade1UcapNotOK
98,__0,__0,01_05_108,桨叶1安全链断开,SC_Blade1PitchSafetyChainNotOK
99,__0,__0,01_05_109,桨叶1内部风扇故障,SC_Blade1InternalFanError
100,199,__0,01_05_110,桨叶1散热风扇故障,SC_Blade1HeatsinkFanErro
101,198,__0,01_05_111,桨叶1直流熔断器故障,SC_Blade1DCFuseError
102,198,__0,01_05_112,桨叶1充电警告,SC_Blade1ChargingWarning
103,198,__0,01_05_113,桨叶1电机锁住,SC_Blade1MotorBlockade
104,198,__0,01_05_114,桨叶1线缆故障,SC_Blade1MotorCableBroken
105,198,__0,01_05_115,桨叶1的91度限位开关故障,SC_Blade191DegreeSwitchError
106,_51,__0,01_05_116,桨叶1UC温度故障,SC_Blade1UCTemperatureError
109,__0,__0,01_05_128,桨叶1UC电压故障,SC_Blade1UCVoltageError
110,__0,__0,01_05_129,桨叶1负限位开关触发,SC_Blade1NegativeLimitSwitchTrigged
111,__0,__0,01_05_130,桨叶1的91度限位开关触发,SC_Blade191DegreeSwitchTrigged
112,__0,__0,01_05_131,桨叶1的95度限位开关触发,SC_Blade195DegreeSwitchTrigged
113,__0,__0,01_05_132,桨叶1电源故障,SC_Blade1PowerSupplyError
114,__0,__0,01_05_133,桨叶1安全链急停,SC_Blade1EmergencyBySafetyChain
115,__0,__0,01_05_134,桨叶1内部P6故障,SC_Blade1InternalP6Error
116,__0,__0,01_05_135,桨叶1变频器故障,SC_Blade1InterverError
117,__0,__0,01_05_136,桨叶1电机编码器故障,SC_Blade1MotorEncoderError
118,__0,__0,01_05_137,桨叶1位置对比错误,SC_Blade1PositionCompareError
119,__0,__0,01_05_138,桨叶1现场总线通讯故障,SC_Blade1FieldbusCommunicationError
120,__0,__0,01_05_139,桨叶1输出过载,SC_Blade1OutputOverload
121,__0,__0,01_05_140,桨叶1被现场总线急停,SC_Blade1EmergencyStopByFieldbus
122,__0,__0,01_05_141,桨叶1主电源故障急停,SC_Blade1EmergencyStopByMainPowerFailure
123,__0,__0,01_05_142,桨叶1主电源故障,SC_Blade1MainPowerFailure
124,__0,__0,01_05_143,桨叶1相位错误,SC_Blade1PhaseFailure
125,__0,__0,01_05_144,桨叶1Ucap过电压,SC_Blade1UcapOverVoltage
126,__0,__0,01_05_145,桨叶1变频器警告,SC_Blade1InverterWarning
127,__0,__0,01_05_146,桨叶1散热器温度警告,SC_Blade1HeatsinkTemperatureWarning
128,__0,__0,01_05_147,桨叶1电机温度警告,SC_Blade1MotorTemperatureWarning
129,__0,__0,01_05_148,桨叶1电机线缆温度警告,SC_Blade1MotorTemperatureCableError
130,__0,__0,01_05_149,桨叶1刹车故障,SC_Blade1BrakeCableError
131,__0,__0,01_05_150,桨叶1心跳超时,SC_Blade1HeartBeatOveTime
135,__0,__0,01_05_207,桨叶2Ucap异常,SC_Blade2UcapNotOK
136,__0,__0,01_05_208,桨叶2安全链断开,SC_Blade2PitchSafetyChainNotOK
137,__0,__0,01_05_209,桨叶2内部风扇故障,SC_Blade2InternalFanError
138,__0,__0,01_05_210,桨叶2散热风扇故障,SC_Blade2HeatsinkFanError
139,__0,__0,01_05_211,桨叶2直流熔断器故障,SC_Blade2DCFuseError
140,__0,__0,01_05_212,桨叶2充电器报警,SC_Blade2ChargingWarning
141,__0,__0,01_05_213,桨叶2电机锁住,SC_Blade2MotorBlockade
142,__0,__0,01_05_214,桨叶2电机线缆故障,SC_Blade2MotorCableBroken
143,__0,__0,01_05_215,桨叶2的91度限位开关故障,SC_Blade291DegreeSwitchError
144,__0,__0,01_05_216,桨叶2UC温度异常,SC_Blade2UCTemperatureError
147,__0,__0,01_05_228,桨叶2UC电压异常,SC_Blade2UCVoltageError
148,__0,__0,01_05_229,桨叶2负限位开关触发,SC_Blade2NegativeLimitSwitchTrigged
149,__0,__0,01_05_230,桨叶2的91度限位开关触发,SC_Blade291DegreeSwitchTrigged
150,__0,__0,01_05_231,桨叶2的95度限位开关触发,SC_Blade295DegreeSwitchTrigged
151,__0,__0,01_05_232,桨叶2电源故障,SC_Blade2PowerSupplyError
152,__0,__0,01_05_233,桨叶2被安全链急停,SC_Blade2EmergencyBySafetyChain
153,__0,__0,01_05_234,桨叶2内部P6故障,SC_Blade2InternalP6Error
154,__0,__0,01_05_235,桨叶2变频器故障,SC_Blade2InterverError
155,__0,__0,01_05_236,桨叶2电机编码器故障,SC_Blade2MotorEncoderError
156,__0,__0,01_05_237,桨叶2位置对比错误,SC_Blade2PositionCompareError
157,__0,__0,01_05_238,桨叶2现场总线通讯故障,SC_Blade2FieldbusCommunicationError
158,__0,__0,01_05_239,桨叶2输出过载,SC_Blade2OutputOverload
159,__0,__0,01_05_240,桨叶2被现场总线急停,SC_Blade2EmergencyStopByFieldbus
160,__0,__0,01_05_241,桨叶2因主电源故障急停,SC_Blade2EmergencyStopByMainPowerFailure
161,__0,__0,01_05_242,桨叶2主电源故障,SC_Blade2MainPowerFailure
162,__0,__0,01_05_243,桨叶2相位错误,SC_Blade2PhaseFailurel
163,__0,__0,01_05_244,桨叶2Ucap过电压,SC_Blade2UcapOverVoltage
164,__0,__0,01_05_245,桨叶2内部警告,SC_Blade2InverterWarning
165,__0,__0,01_05_246,桨叶2散热器温度警告,SC_Blade2HeatsinkTemperatureWarning
166,__0,__0,01_05_247,桨叶2电机温度警告,SC_Blade2MotorTemperatureWarning
167,__0,__0,01_05_248,桨叶2电机温度线缆故障,SC_Blade2MotorTemperatureCableError
168,__0,__0,01_05_249,桨叶2刹车线缆故障,SC_Blade2BrakeCableError
169,__0,__0,01_05_250,桨叶2心跳超时,SC_Blade2HeartbeatOverTime
901,__0,__0,01_05_307,桨叶3Ucap异常,SC_Blade3UcapNotOK
902,__0,__0,01_05_308,桨叶3安全链断开,SC_Blade3PitchSafetyChainNotOK
903,__0,__0,01_05_309,桨叶3内部风扇故障,SC_Blade3InternalFanError
904,__0,__0,01_05_310,桨叶3散热风扇故障,SC_Blade3HeatsinkFanError
905,__0,__0,01_05_311,桨叶3直流熔断器故障,SC_Blade3DCFuseError
906,__0,__0,01_05_312,桨叶3充电报警,SC_Blade3ChargingWarning
907,__0,__0,01_05_313,桨叶3电机锁住,SC_Blade3MotorBlockade
908,__0,__0,01_05_314,桨叶3电机线缆故障,SC_Blade3MotorCableBroken
909,__0,__0,01_05_315,桨叶3的91度限位开关故障,SC_Blade391DegreeSwitchError
910,__0,__0,01_05_316,桨叶3UC温度异常,SC_Blade3UCTemperatureError
911,__0,__0,01_05_328,桨叶3UC电压错误,SC_Blade3UCVoltageError
912,__0,__0,01_05_329,桨叶3负限位开关触发,SC_Blade3NegativeLimitSwitchTrigged
913,__0,__0,01_05_330,桨叶3的91度限位开关触发,SC_Blade391DegreeSwitchTrigged
914,__0,__0,01_05_331,桨叶3的95度限位开关触发,SC_Blade395DegreeSwitchTrigged
915,__0,__0,01_05_332,桨叶3电源故障,SC_Blade3PowerSupplyError
916,__0,__0,01_05_333,桨叶3被安全链急停,SC_Blade3EmergencyBySafetyChain
917,__0,__0,01_05_334,桨叶3内部P6故障,SC_Blade3InternalP6Error
918,__0,__0,01_05_335,桨叶3内部故障,SC_Blade3InterverError
919,__0,__0,01_05_336,桨叶3电机编码器故障,SC_Blade3MotorEncoderError
920,__0,__0,01_05_337,桨叶3位置对比错误,SC_Blade3PositionCompareError
921,__0,__0,01_05_338,桨叶3现场总线通讯故障,SC_Blade3FieldbusCommunicationError
922,__0,__0,01_05_339,桨叶3输出过载,SC_Blade3OutputOverload
923,__0,__0,01_05_340,桨叶3被现场总线急停,SC_Blade3EmergencyStopByFieldbus
924,__0,__0,01_05_341,桨叶3因主电源故障急停,SC_Blade3EmergencyStopByMainPowerFailure
925,__0,__0,01_05_342,桨叶3主电源故障,SC_Blade3MainPowerFailure
926,__0,__0,01_05_343,桨叶3相位错误,SC_Blade3PhaseFailure
927,__0,__0,01_05_344,桨叶3Ucap过电压,SC_Blade3UcapOverVoltage
928,__0,__0,01_05_345,桨叶3变频器报警,SC_Blade3InverterWarning
929,__0,__0,01_05_346,桨叶3散热器温度报警,SC_Blade3HeatsinkTemperatureWarning
930,__0,__0,01_05_347,桨叶3电机温度报警,SC_Blade3MotorTemperatureWarning
931,__0,__0,01_05_348,桨叶3电机线缆温度异常,SC_Blade3MotorTemperatureCableError
932,__0,__0,01_05_349,桨叶3刹车线缆故障,SC_Blade3BrakeCableError
933,__0,__0,01_05_350,桨叶3心跳超时,SC_Blade3HeartbeatOverTime
934,__0,__0,01_05_351,桨叶1变桨角度偏差大,SC_Blade1PitchAngleDiffMax
935,__0,__0,01_05_352,桨叶2变桨角度偏差大,SC_Blade2PitchAngleDiffMax
936,__0,__0,01_05_353,桨叶3变桨角度偏差大,SC_Blade3PitchAngleDiffMax
172,210,100,02_01_001,机舱急停按钮1触发,SC_SafetyChain_EmergencySTOP1nacelle
173,210,100,02_01_002,机舱急停按钮2触发,SC_SafetyChain_EmergencySTOP2nacelle
174,200,100,02_01_003,振动开关触发,SC_SafetyChain_VibrationSwitch
175,200,100,02_01_004,超速继电器继电器开关被触发,SC_SafetyChain_OverspeedRelayTriggered
176,200,100,02_01_005,纽缆开关限位开关被触发,SC_SafetyChain_CableTwistMax
177,200,100,02_01_006,逆时针纽缆开关限位开关被触发,SC_SafetyChain_CableTwistMaxCCW
178,200,100,02_01_007,振动传感器PCH开关被触发,SC_SafetyChain_VibrationSwitchPCHRelay
179,__0,__0,02_01_008,安全系统远程复位,SC_RemoteResetTwinSAFE
181,__0,__0,02_01_101,机舱柜的安全链复位按钮被触发,OC_SafetyChainResetFromNacelle
183,_51,_20,02_02_001,机舱柜温度超限,SC_TempNacelleCabinetOutOfSpec
185,_51,__0,02_02_003,机舱24VUPS故障,SC_UPSError24VNacellePLC
186,198,100,02_02_004,机舱230VUPS逆变不正常,SC_UPSError230VHub_AccuModeActive
187,__0,__0,02_02_005,机舱230VUPS故障,SC_UPSError230VHub
188,_51,__0,02_02_006,机舱24VUPS电池模式,SC_NacelleUPS_24VPLC_BatteryMode
190,_51,__0,02_02_008,机舱柜雷电保护器失效,SC_NoLightningProtectionCabinetNacelle
191,__0,__0,02_02_009,机舱柜温度高,SC_TempCabinetNacelle_high
192,__0,__0,02_02_010,机舱柜温度低,SC_TempCabinetNacelle_low
193,_51,__0,02_02_011,机舱柜温度较高,SC_TempCabinetNacelle_MAX
194,_51,__0,02_02_012,机舱柜温度较低,SC_TempCabinetNacelle_MIN
195,__0,__0,02_02_013,机舱柜温度重复故障,SC_RepFaultTempCabinetNacelle
196,_51,100,02_02_014,PLC模块363ST0或388ST0电源模块出现故障,SC_NacelleOL24VDevicesMeteorologyIncludingHeaters
197,__0,__0,02_02_015,风速加热和除冰传感器24V过载,SC_NacelleOL24VHeaterWindAndIceSensors
198,_51,100,02_02_016,PLC模块的电源模块出现故障(用于液压主轴刹车),SC_NacelleOL24VDevicesHydraulicsRotorGenerator
199,_51,100,02_02_017,机舱柜24V电压过载,SC_NacelleOL24VDigOut
200,199,100,02_02_018,机舱柜204Q1分闸,SC_NacelleFuse400VPitch
201,__0,__0,02_02_019,齿轮箱泵加热器222F4分闸,SC_NacelleFuseHeaterGearOilPump
202,_51,100,02_02_020,机舱柜690V熔断器熔断,SC_NacelleFuse690V
203,100,100,02_02_021,机舱柜400V开关201Q4分闸,SC_NacelleFuse400V
204,_51,__0,02_02_022,机舱柜24V电源250F1分闸,SC_NacelleFuse24VTempOutOfSpec
205,__0,100,02_02_023,机舱柜偏航电机主保护开关230Q1分闸,SC_NacelleMotorProtectionYawMotorsMain
208,__0,__0,02_02_026,机舱柜滑环加热器开关228F7分闸,SC_NacelleFuseHeaterSlipring
209,_51,__0,02_02_027,机舱柜齿轮箱润滑泵222Q1或者222Q1.1分闸,SC_MotorProtection_GearOilLubricPump
210,__0,__0,02_02_028,机舱柜齿轮箱水泵222Q7分闸,SC_MotorProtection_GearWaterPump
211,__0,__0,02_02_029,机舱柜齿轮箱水冷风扇224Q1分闸,SC_MotorProtection_GearFan
212,__0,__0,02_02_030,机舱柜机舱冷却风扇218Q1分闸,SC_MotorProtection_FanNacelle
213,__0,__0,02_02_031,机舱柜齿轮箱加热器224Q7分闸,SC_MotorProtection_GearboxHeater
214,_51,__0,02_02_032,机舱柜PLC电源模块359ST0故障,SC_NacelleOL24VDevicesHubAndDrivetrain
215,__0,__0,02_02_033,机舱柜加热器210F7分闸,SC_NacelleFuse230VCabHeater
216,__0,__0,02_02_034,机舱柜风扇210F2分闸,SC_NacelleFuse230VCabFan
217,_51,__0,02_02_036,机舱柜发电机外部风扇226Q1分闸,SC_MotorProtection_GenFanExternal
218,_51,__0,02_02_037,机舱柜发电机内部风扇226Q3分闸,SC_MotorProtection_GenFanInternal
219,__0,__0,02_02_038,机舱柜发电机加热器226F5分闸,SC_MotorProtection_GenSpaceHeater
220,__0,__0,02_02_039,机舱柜400V变24V开关电源212Q1分闸,SC_NacelleFuse400VAC_24VDC
221,__0,__0,02_02_040,机舱柜航空灯电源236F4开关分闸,SC_NacelleFuse230VHazardBeacon
222,_51,__0,02_02_041,机舱柜液压站油泵开关228Q1分闸,SC_MotorProtection_HydrPump
223,__0,__0,02_02_042,机舱柜齿轮箱风扇和油泵加热器222F4分闸,SC_NacelleFuseMotorHeater_GearFanAndOilPump
224,__0,__0,02_02_043,机舱柜液压站加热器开关228F4分闸,SC_MotorProtection_HydrHeater
225,__0,__0,02_02_044,机舱柜24V指示灯供电376ST0电源模块故障,SC_NacelleOL24VDevicesCabinetLamps
226,__0,__0,02_02_045,机舱柜发电机集中润滑开关226F7分闸,SC_NacelleFuseLubricPumpGenerator
227,__0,100,02_02_046,机舱柜偏航电机1热继电器230Q1.1保护动作,SC_MotorProtection_YawMotor1
228,__0,100,02_02_047,机舱柜偏航电机2热继电器230Q3保护动作,SC_MotorProtection_YawMotor2
229,__0,100,02_02_048,机舱柜偏航电机3热继电器230Q5保护动作,SC_MotorProtection_YawMotor3
230,__0,100,02_02_049,机舱柜偏航电机4热继电器230Q7保护动作,SC_MotorProtection_YawMotor4
231,__0,__0,02_02_050,机舱柜机舱电机开关236Q1分闸,SC_MotorProtection_BordCrane
232,100,__0,02_02_051,机舱柜齿轮箱PLC模块24V电源模块故障,SC_NacelleOL24VDevicesGearbox
233,__0,__0,02_02_052,机舱柜内部温度点PT100故障,SC_FaultInputPT100_CabinetNacelle
234,__0,__0,02_02_053,机舱温度点PT100故障,SC_FaultInputPT100_Nacelle
235,_51,__0,02_02_054,机舱齿轮箱油温度点PT100故障,SC_FaultInputPT100_GearOil1
236,_51,__0,02_02_057,机舱齿轮箱冷却液温度点PT100故障,SC_FaultInputPT100_GearCoolantFluid
237,_51,__0,02_02_058,机舱齿轮箱驱动端轴承温度点PT100故障,SC_FaultInputPT100_GearBearingDE
238,_51,__0,02_02_059,机舱齿轮箱非驱动端轴承温度点PT100故障,SC_FaultInputPT100_GearBearingNDE
239,_51,__0,02_02_060,机舱主轴A轴承温度点PT100故障,SC_FaultInputPT100_RotorBearingA
240,__0,__0,02_02_061,机舱变压器温度点PT100故障,SC_FaultInputPT100_NacelleTransformer690_400V
241,__0,__0,02_02_062,机舱变桨变压器温度点PT100故障,SC_FaultInputPT100_PitchTransformer
242,_51,__0,02_02_063,机舱主轴B轴承温度点PT100故障,SC_FaultInputPT100_RotorBearingB
246,_51,__0,02_02_067,机舱发电机定子U绕组温度点PT100故障,SC_FaultInputPT100_GeneratorStatorU
247,_51,__0,02_02_069,机舱发电机定子V绕组温度点PT100故障,SC_FaultInputPT100_GeneratorStatorV
248,_51,__0,02_02_071,机舱发电机定子W绕组温度点PT100故障,SC_FaultInputPT100_GeneratorStatorW
249,_51,__0,02_02_073,机舱发电机驱动端轴承温度点PT100故障,SC_FaultInputPT100_GeneratorBearingDE
250,_51,__0,02_02_074,机舱发电机非驱动端轴承温度点PT100故障,SC_FaultInputPT100_GeneratorBearingNDE
251,_51,__0,02_02_075,机舱发电机冷却空气温度点PT100故障,SC_FaultInputPT100_GeneratorCoolingAir
252,__0,__0,02_02_077,机舱户外温度点PT100故障,SC_FaultInputPT100_Outdoor
253,__0,100,02_02_078,机舱柜电磁抱闸开关230F8分闸,SC_NacelleFuseElectricalMotorBrakeYaw
255,_51,100,02_02_082,机舱柜偏航部分24V电源模块故障,SC_NacelleOL24VDevicesYaw
256,__0,__0,02_02_083,机舱柜面板24V手动电源过载故障,SC_NacelleOL24VDevicesManualSwitches
257,__0,__0,02_02_084,机舱柜可选设备24V电源PLC模块故障,SC_NacelleOL24VDevicesOptional
259,_51,__0,02_02_086,机舱柜压力24V电源361ST0模块故障,SC_NacelleOL24VDevicesPressure
260,_50,__0,02_02_087,PCH通讯数据无效,SC_SumInfoErrorCANPCH
839,__0,__0,02_02_090,齿轮箱油加热系统泵空开跳闸,SC_MotorProtection_GearOilHeaterSystemPump
840,__0,__0,02_02_091,齿轮箱油加热系统加热器空开跳闸,SC_MotorProtection_GearOilHeaterSystemHeater
841,__0,__0,02_02_092,齿轮箱油加热系统泵加热器空开跳闸,SC_NacelleFuseHeaterGearOilHeaterSystemPump
852,__0,__0,02_02_093,机舱加热器空开跳闸,SC_NacelleFuseHeaterNacelle
853,__0,__0,02_02_094,机舱加热器风扇空开跳闸,SC_NacelleFuseHeaterFanNacelle
854,__0,__0,02_02_095,机舱温度超限,SC_NacelleFuse24VNacelleTempoutOFspec
856,__0,__0,02_02_096,偏航电机加热器空开跳闸,SC_NacelleFuseYawMotorHeater
263,__0,__0,02_02_100,机舱高速轴刹车电磁阀刹车,OC_ValveOpenRotorBrake_ON
264,__0,__0,02_02_101,机舱发电机内部冷却风扇启动,OC_GenFanInternal_ON
265,__0,__0,02_02_102,机舱发电机外冷却风扇启动,OC_GenFanInternal_ON
266,__0,__0,02_02_103,机舱发电机空间加热器启动,OC_GenSpaceHeaterON
267,__0,__0,02_02_104,滑环加热器启动,OC_HeaterSlipring_ON
268,__0,__0,02_02_105,机舱齿轮箱冷却风扇启动,OC_GearFan_ON
269,__0,__0,02_02_106,机舱齿轮箱低速油泵启动,OC_GearOilPumpLS_ON
270,__0,__0,02_02_107,机舱齿轮箱高速油泵启动,OC_GearOilPumpHS_ON
271,__0,__0,02_02_108,机舱齿轮箱油加热器启动,OC_GearOilHeater_ON
272,__0,__0,02_02_109,机舱液压站油泵启动,OC_HydrPump_ON
273,__0,__0,02_02_110,机舱液压站加热器启动,OC_HydrHeater_ON
274,__0,__0,02_02_111,机舱风向风速仪加热器启动,OC_HeaterWindSensors_ON
275,__0,__0,02_02_112,机舱风扇启动,OC_FanNacelle_ON
276,__0,__0,02_02_113,机舱主轴集中润滑启动,OC_LubricPumpRotorBearing_ON
277,__0,__0,02_02_114,机舱顺时针偏航,OC_YawCW_ON
278,__0,__0,02_02_115,机舱逆时针偏航,OC_YawCCW_ON
279,__0,__0,02_02_116,机舱偏航电磁刹车动作,OC_OpenElectricalYawBrake_ON
280,__0,__0,02_02_117,机舱偏航液压压力全释放,OC_ValveOpenYawBrakeTotal_ON
281,__0,__0,02_02_118,机舱偏航液压压力半释放,OC_ValveOpenYawBrakePartly_ON
282,__0,__0,02_02_119,机舱除冰传感器启动,OC_HeaterIceSensor_ON
283,__0,__0,02_02_120,机舱柜加热器启动,OC_NacelleHeaterCabinetON
284,__0,__0,02_02_121,机舱桨叶轴承集中润滑泵启动,OC_LubricPumpBladeBearing_ON
285,__0,__0,02_02_122,机舱偏航轴承润滑泵启动,OC_LubricPumpYawBearing_ON
287,__0,__0,02_02_124,机舱齿轮箱水泵启动,OC_GearWaterPump_ON
288,__0,__0,02_02_125,机舱桨叶旁通启动,OC_PitchBypassFeatherSwitchHub_ON
289,__0,__0,02_02_126,机舱柜轮毂400V供电接触器闭合,OC_Nacelle400VSlipRing_ON
290,__0,__0,02_02_127,机舱柜24V电源输出闭合,OC_Nacelle24VOutput_ON
291,__0,__0,02_02_128,机舱桨叶齿轮集中润滑泵启动,OC_LubricPumpBladeBearPinions_ON
842,__0,__0,02_02_130,齿轮箱油加热器泵启动,OC_GearOilHeaterSystemPump_ON
843,__0,__0,02_02_131,齿轮箱油加热器加热丝启动,OC_GearOilHeaterSystemHeater_ON
855,__0,__0,02_02_132,机舱加热器启动,OC_NacelleHeaterNacelle_ON
862,__0,__0,02_02_140,发电机滑环风扇空开分闸,SC_MotorProtection_GenSlipRingFan
863,__0,__0,02_02_141,发电机空间加热器空开分闸,SC_MotorProtection_GenSpaceHeater2
864,__0,__0,02_02_142,发电机外冷风扇加热器空开分闸,SC_MotorProtection_GenFanExternalHeater
865,__0,__0,02_02_143,发电机集中润滑24V空开分闸,SC_NacelleFuseLubricPumpGenerator24V
293,__0,__0,02_03_001,机舱温度高,SC_TempNacelle_high
294,__0,__0,02_03_002,机舱温度低,SC_TempNacelle_low
295,_50,__0,02_03_003,机舱温度较高,SC_TempNacelle_MAX
296,_50,__0,02_03_004,机舱温度较低,SC_TempNacelle_MIN
297,_50,__0,02_03_005,机舱温度重复性故障,SC_RepFaultTempNacelle
